id_ptn,ptn_nama,jalur,id_prodi,kode_prodi,prodi,jenjang,portofolio,kelompok_bidang,is_fakultas,is_new,daya_tampung_kini,tahun,daya_tampung,peminat,terima,peminat_lag1,peminat_lag2,daya_tampung_lag1,terima_lag1,jumlah_prodi_ptn,total_peminat_ptn,proporsi_peminat_lokal,jumlah_provinsi_asal
141,UNIVERSITAS ANDALAS,SNBP,141028,11411028,PROTEKSI TANAMAN,S1,Tidak Ada,pertanian,0,0,60,2023,45,105,45,123,127,28,28,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141028,11411028,PROTEKSI TANAMAN,S1,Tidak Ada,pertanian,0,0,60,2024,60,122,60,105,123,45,45,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141028,11411028,PROTEKSI TANAMAN,S1,Tidak Ada,pertanian,0,0,60,2025,60,154,60,122,105,60,60,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141029,11411029,PENYULUHAN PERTANIAN,S1,Tidak Ada,pertanian,0,0,20,2021,12,64,12,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141029,11411029,PENYULUHAN PERTANIAN,S1,Tidak Ada,pertanian,0,0,20,2022,12,101,12,64,,12,12,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141029,11411029,PENYULUHAN PERTANIAN,S1,Tidak Ada,pertanian,0,0,20,2023,20,113,20,101,64,12,12,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141029,11411029,PENYULUHAN PERTANIAN,S1,Tidak Ada,pertanian,0,0,20,2024,20,110,20,113,101,20,20,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141029,11411029,PENYULUHAN PERTANIAN,S1,Tidak Ada,pertanian,0,0,20,2025,20,124,20,110,113,20,20,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141030,11411030,TEKNOLOGI INDUSTRI PERTANIAN,S1,Tidak Ada,pertanian,0,0,40,2021,24,120,24,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141030,11411030,TEKNOLOGI INDUSTRI PERTANIAN,S1,Tidak Ada,pertanian,0,0,40,2022,16,152,16,120,,24,24,48,21246,,
